usuario,seguidores,seguidos,tweets,retweets
ManuelCostoya1,1471,3777,0,1
cifuera,831,992,0,1
anikka91,819,1657,0,7
tanmarti,77,57,0,2
tizayucacecyteh,618,115,0,1
capdevila_mon,31,90,0,1
linaarbelaez,2195,1017,0,1
Julioca59829499,82,225,0,1
JuanPabloY2K,454,400,0,4
JosMiguelOrozc6,222,399,0,1
mtamayor,6593,3134,0,1
platdeinfancia,16104,4456,0,1
MarceloSoldati,107,741,0,1
adespaux,83,115,0,1
aambros,2017,1489,1,10
vpalacios2,424,572,0,1
tandachik,244,402,0,1
AitanaOltra,820,978,0,1
EmbEspAlbania,620,321,1,2
SchulbaumO,2201,2159,0,1
MherranzS,168,147,0,1
FabreLaia,150,116,0,1
reynoso_gabi,385,758,0,1
DrSantacreu,1830,993,0,1
ckundaa,264,605,1,0
JuliusVip,383,477,0,1
OscarMoral1,1662,1877,0,1
OVTT,3583,2702,1,0
agroecologiaUMH,830,608,2,0
oavt23,278,940,0,1
YMarlasca,11,16,0,1
MaRiaYos10,67,65,0,1
Elarkidelbarrio,504,1354,0,4
FamiliarGestion,229,950,0,1
GITE_USAL,691,696,0,1
jfernandez_10,338,393,1,0
ONUMujeres,266369,858,1,0
itaipuparaguay,40201,808,1,0
eivars,2314,1554,0,1
Ericsson_es,1571,451,0,1
clarybella201,157,347,0,1
CJCyL,4834,420,1,1
Brenda_Trev2,27,79,0,1
RodrigoIbeasCs,2326,2238,0,1
VanessVanessa90,135,242,0,1
chevyy195,72,649,0,1
DiaDelRinon,2813,185,0,1
znaiders84,69,284,0,1
jessytigg,237,945,0,1
SPRU,9389,1765,0,1
JuntosporlaVida,780,809,0,2
Ignaciosan78,4,73,0,1
IgnacioEscauel1,14,905,0,1
elperiodista_sv,17475,2482,0,1
crespial,1257,243,4,0
PremioSacha,424,433,7,0
EduardoZurdoP,318,1015,0,1
Donato_Casas,1420,78,0,1
Funtrajusto1,123,255,0,1
ParraMMilena,184,777,0,1
A_ZAPATA_A,2651,338,0,1
Nesfero69,789,1061,0,1
flopezsastre,131,299,0,2
RREI_inclusiva,476,248,0,2
Odiaber,1345,4974,0,1
SaludMentalRM,1477,445,0,2
lvalmanaq,69,206,0,1
CarreoYolicar,43,237,0,1
cizelaidaguia,4249,4072,0,1
silviadriana01,17,36,0,1
ndequeiros,1019,346,1,3
ONGVitalis,25378,390,2,0
Cortez_Perez28,36,140,0,1
Francis32316467,28,70,0,2
Jmgregoriomo,136,369,0,1
maristascompost,1672,133,0,1
CSinguilucan,606,172,0,1
sonlluc,7,31,0,1
Jake_J_Ecu,59,154,0,1
SENAE_Aduana,38386,2273,0,1
AiQuEzAdA,370,1068,0,1
Almagro_OEA2015,1130677,318,1,0
MarioRodasA,372,99,1,0
CarolinaMC317,456,1991,0,1
Violet_Ruouiz,3016,1393,0,4
emma_chm,454,483,1,1
CentomoMarilen,3,54,0,1
YanethL19483967,10,28,0,1
Antmorenof,60,192,0,1
Claudia34417067,135,141,0,1
ChetiJesus,327,582,0,1
RochLegui,84,198,0,1
Evasti,342,303,0,1
PRENSAOSSE,4217,1028,1,0
STOPMutilacion,451,1596,1,0
pepitasanabria,855,1879,0,1
JesusMontado,9,27,0,1
EmbryologMedia,467,672,0,1
tfa2020,3487,499,0,1
spgonzalez23,162,910,0,1
Darievelasquez,34,163,0,1
harrypedro7,431,3292,0,2
georgerimemo,291,482,0,1
VPenafie,31,49,0,1
Pure2GoUK,207,1305,0,1
VALORA_AC,450,450,0,1
Sustain82109672,31,210,2,0
khaibar82,241,494,0,1
Alermdj,36,73,0,2
yamatho2,4190,304,0,3
rtorres_javier,584,1288,0,1
Estelam27348304,18,35,0,1
DiazStrunz,1762,661,0,3
ElChinoNavarro,2358,1958,0,1
DaniielaChacon_,471,276,0,1
CLAUSOLIVA,1518,3501,1,0
Gdo_Castellanos,342,365,0,1
mogarcia1975,41,64,0,1
DP_MAEBolivar,1410,280,0,1
gastroutvco,942,939,0,1
RED2REDCons,959,433,0,1
EMULSAGijon,2896,1407,0,1
pequenocorazona,296,818,0,1
agorarsc,12195,5489,7,12
renegora,31,98,0,1
miguelcarrenof,116,874,4,1
Patrici_FF,148,132,0,4
DiosalinaPineda,23,94,0,1
orlandaguirre,1298,3182,0,1
bbbcccnnn,652,905,0,1
pachionirenata,157,468,0,1
Tere_Valarezo,70,198,0,1
ort_fran,145,178,0,1
JulesSayNoMore,79,484,0,1
JuanCazorla,3129,2239,1,0
rvillamizarm,347,514,1,0
arqenriquezr,85,788,0,1
perozozambrano,75,416,0,1
Susi_scarpatti,630,373,0,1
KarlaSnchzGon,5,62,0,1
Alexand03317918,9,17,0,1
MariContr3ras,516,1235,0,1
Libertexxx,671,1383,0,1
beoloborda,789,1189,0,1
EutiquianoNieva,172,114,0,2
Emmanuel_GC1,577,424,1,0
mjdigo,19,72,0,1
africaredes,3844,4259,1,2
CulturaRSC,4960,623,0,3
gablozano,256,686,0,1
sustrategies,40,138,4,0
LuisAlternatura,144,286,0,2
SUNNYARELY,557,828,0,1
casaesperanza_,4732,858,1,0
alfonsomayor,864,2603,0,1
konfekoop,484,497,1,3
sociedadiversa,112,315,0,1
ECitizen7,62,196,0,1
LLlouzao15m,1,43,0,1
Lili_en_uy,27,67,0,2
Begoipunt,207,588,0,1
AmpfmexMario,165,123,0,1
Aeronavarro,177,234,0,1
ilvaarias,364,247,0,3
ErickRodguez,29,186,0,1
UNV_ROLAC,265,99,1,0
DanielMoraParra,51,109,0,4
ErvixaPrieto,231,305,0,2
merymoisa,1192,956,0,1
GaliusMaximus,403,496,0,1
carlospineda129,343,1759,0,3
Rosendo_barr,80,64,0,1
sonilink,2069,1950,0,1
camarin_,173,650,0,1
mariamg2009,1451,851,0,1
MelissaCoca10,94,186,0,1
Vickypsoe,942,550,0,2
ChipantaD,320,387,0,1
BayonaAracelly,169,742,0,2
ConOtraCLASE,5324,4895,0,1
nopiedra,4286,3072,0,1
sandraparrar,239,1137,0,1
MayoNaranja,166,1021,0,1
ranea_garcia,437,2114,0,1
herrerocm,888,1652,0,1
PUnamuno,897,968,0,1
Angel_Ariasp,118,188,0,1
mutualiamutua,751,278,3,0
fundacionexit,6206,1796,1,0
alegre_gimenez,12,26,0,13
SDHuruguay,2372,816,0,1
Camelhub_SAS,163,473,1,0
Debate_Joven,329,230,9,3
FCD_Ecuador,4766,2457,0,2
ucomur,3976,4886,0,4
GemaPrezPinto,107,148,0,1
oeg_upm,1051,144,0,1
PactoGlobalPERU,885,391,0,1
Trump123Maria,39,204,0,1
JaimeJtorres,65,175,0,2
HaydeeDomic,463,468,0,1
quameorg,945,973,0,1
JosDegollado,4,39,0,1
franciscopolo,22639,4112,0,1
jfllinas,402,538,0,1
SocEnterpriseES,1383,1330,4,3
Barrio_Yungay,27934,1550,0,1
pedroamerico13,337,203,0,2
ReconstruYo_Ec,4155,309,0,3
Admon_GobOax,9613,242,0,1
FuturoMiguel,206,1148,0,2
cimesalvador,993,2467,0,1
e_cura,2103,1055,0,1
albert_fabregat,187,477,1,1
CharlieNuclear,208,124,1,2
ptws1969,2343,4998,0,1
UNAM_PINCC,2389,272,0,1
PabloZoido,840,1392,0,2
Cachovillarreal,36,106,0,1
joyyances,227,905,0,1
AnnyGag,960,1602,0,1
Cotec_Innova,37921,1592,0,1
Amparo_Medina,16516,6226,0,1
_enriquelb,188,133,0,1
NetClubj1,1863,5062,0,1
SostenibleRSC,117,184,1,0
Guiller32230245,9,193,0,1
stevenbcn,100,209,0,1
FBiodiversidad,62647,456,1,0
fuenyemo,86,183,0,1
gabrielgonz27,630,1493,0,1
AgustinMillanG,3562,2701,1,0
carodiotti,2183,1149,0,1
malurubio12,123,162,0,5
Jessica03050501,14,51,0,1
generoenaccion,15407,8185,0,1
SiSePuedeVLL,1686,453,3,1
GonzaloLarenas,9031,1298,0,2
GenIurisLaw,98,117,0,1
DanielJuanma,418,663,0,1
GipuzkoaCoopera,116,145,0,1
VAW1970,11,130,0,1
PNUD_ALGenera,6296,1487,0,4
UEenElSalvador,4441,725,0,1
guillem_llorens,229,192,0,2
elenayllon,1211,1287,0,1
sggranda,1899,4532,0,3
GabPS9,166,758,0,1
CEADS_AR,3641,755,0,3
comunicacioicab,15476,1312,0,1
anahinovoa,1644,476,0,1
espenovo61,53,208,0,2
EstherMasclans,132,245,0,1
s4theplanet,19,70,0,3
Gflorentino4,9,44,0,1
GGroxanaaguirre,49718,40331,0,1
zanaines,3273,2713,0,3
rafallanesripol,123,84,0,2
ACh88_EC,20,14,0,1
EFEafrica,4013,105,0,2
umhsapiens,2179,1826,0,1
fannymar05,38,125,0,1
LuisRam79683177,95,110,0,1
Diego1Castaneda,209,34,0,1
Carran_Ergio,61,230,0,1
unfpa_lac,4706,984,1,0
albertobecbed,338,372,0,1
EBismark,2221,2326,0,2
martutis6,580,1492,1,0
CayoCornelio,841,1295,0,1
ObservaRSE_,6791,5882,2,1
apdisutrera,395,199,0,1
weirdkit,196,337,0,1
CarCstro,259,369,0,1
arturocarrascog,570,1396,0,1
Mherrera76M,68,338,0,2
paraguaneando,1264,2130,0,1
s_k_agarwal_nmb,164,28,0,1
IvanGalindoPue,6235,970,0,1
gnoto62,769,545,0,1
ExtraEditable,289,1058,0,1
ElfantasmaBoo,396,1039,0,1
acmvzla,202,431,0,1
FABIANECOLOGIA,328,997,0,11
M_Emprendedora,5053,567,1,2
OITAndina,4552,728,0,1
Value4Chain,1559,2407,1,0
JoaquinLopezP,2798,893,1,0
maribelgomezc,25,56,0,2
MaruGSampietro,908,678,0,1
CECyTEHgoAB,472,106,0,1
GPistako,56,508,0,1
Noelita_ch,1594,899,0,1
LolaCapba,170,333,0,2
camejavi,72,125,0,1
Pat_Odone,173,163,1,0
Jcarlosigeno,2939,868,0,2
Yazcardenas15,881,805,1,1
ConectaTECmx,12176,273,0,2
emebesostenible,43,124,0,1
AlixStellaFranc,21,84,0,1
RADIarchivos,289,258,0,1
pablo_sah,708,644,0,1
lideratge_50a50,1683,758,1,0
pablosuelto,1761,2819,0,1
bellirioceci,506,1214,0,1
casadecronopios,44,156,0,1
rosamelero,2118,589,0,2
OIDPcat,728,1186,0,1
constanzasolor3,37,85,0,1
IlarrazaLaura,3987,178,0,1
mpfc73,1601,3590,1,0
AlvaroRodera,299,1472,0,1
silviamv00,24,136,0,2
Concertacion_pa,972,244,0,1
Lmdileo,106,314,0,1
PepaFranco,95,361,0,1
ErikaMonroyOrt1,24,41,0,1
luis_pepe1984,595,2749,0,1
14x7M,3,126,0,2
lamurgacom,1151,1754,0,1
chinome2018,237,703,0,1
Nubedeazucar13,668,1112,0,1
ileavillalobos,533,1482,0,1
InmaLozano10,190,158,0,1
MagdaQuerol,914,1166,0,2
tiempoin,154,417,2,0
Ruben_Castro,942,954,1,0
CALEMANR,3182,3826,0,1
jmancebog,407,570,0,1
avatarsofia,240,197,0,1
deusto,24862,1317,0,1
MACsimplicity,353,553,0,1
_AngeGI_,581,388,0,1
jesusowpadilla,165,1367,0,1
sAtt_arq,666,1171,0,2
Yola_MartinezL,2564,973,0,2
Xem1ta,57,73,0,1
ApSExtremadura,861,2425,0,2
carolinadosy,245,474,0,1
AmparoHidalgo7,89,129,0,1
jmoradiaz3,43,411,0,1
knowdler,807,1134,0,1
almudenaf,251,668,1,0
JPVmx,2836,4334,0,1
LaudeGuardia,124,150,0,1
AnjaradMadhavi_,72,881,0,1
editasalce,1936,1739,0,1
pedrosport1,465,2241,0,1
ivanpe84,105,175,0,1
JuanJodar4,79,152,1,1
jpalopcasado,2853,4948,0,1
granadofdez,1559,1651,0,2
CatedraHidralia,418,449,0,1
Aide_Albarran_C,69,87,0,1
madrid_osa,605,4860,1,0
IMIB_Arrixaca,541,424,2,2
CYTlab,8826,1678,0,1
txujb,150,302,0,1
crisorihuelar,721,602,0,1
CiudadMe,50,204,0,3
Ecooo_,15616,4362,0,2
robertofc,281,868,0,1
FAbiertas,286,587,0,9
JorgeAPerezP,277,556,1,0
Aguilera_Ariza,618,999,0,1
jpronal,33,291,0,3
PacoDelg,560,633,0,1
moises_1947,46,98,0,1
