urlsmasusados,count
http://twitter.com/download/android,8029
http://twitter.com/download/iphone,5717
http://twitter.com,3867
https://mobile.twitter.com,717
https://www.hootsuite.com,446
https://about.twitter.com/products/tweetdeck,434
http://twitter.com/#,345
https://corresponsables.com,134
https://buffer.com,106
https://metricool.com,81
http://instagram.com,53
https://ifttt.com,50
http://www.facebook.com/twitter,47
http://www.linkedin.com/,31
http://www.youngindianwomen.com,27
https://moringahuile.eu/,27
https://ads-api.twitter.com,21
https://studio.twitter.com,15
http://www.falcon.io,13
http://app.linkedvalues.com,11
http://www.hubspot.com/,10
https://sproutsocial.com,10
http://www.tweetcaster.com,9
http://publicize.wp.com/,8
http://webs.ono.com/danmr,8
http://fiupm-bot.herokuapp.com/,7
https://www.socialgest.net,7
http://ztwitter.peppoweb.com,7
http://www.samruston.co.uk,5
https://paper.li,5
http://www.yamathosupply2.com,3
http://ecuabot.org,3
https://tapbots.com/software/tweetbot/mac,3
https://ads.twitter.com,3
http://tapbots.com/tweetbot,2
https://postcron.com,2
http://www.socentlive.org,2
http://www.salesforce.com,2
https://tecnoloquitos.com,2
http://trendsmap.com/,2
http://www.echofon.com/,2
http://ztwitter.peppoweb.com/,1
https://github.com/TwidereProject,1
https://apps.twitter.com/,1
http://www.twitpane.com,1
https://github.com/Wunderfitz/harbour-piepmatz,1
http://twitter.com/FavPanama,1
https://fanharvest.com,1
http://alexdeveloment.com/,1
https://twitterrific.com/mac,1
https://socialelephants.com,1
http://www.contentcal.io/,1
http://www.scoop.it,1
http://admin.gobiernoabierto.gob.sv/,1
https://www.loomly.com/,1
http://dogtrack.es,1
https://soampli.com/,1
http://sinproject.net/tweecha,1
https://amlo.ga,1
http://ubersocial.com,1
https://apps.twitter.com/app/new,1
https://www.sprinklr.com,1
https://www.cyanpost.com,1
http://35.180.36.179,1
http://www.twitter.com,1
https://app.agorapulse.com,1
http://wisdomfighters.blogspot.com/,1
http://www.myplume.com/,1
https://www.integromat.com,1
http://mejorenbici.es,1
https://santchi.co.uk,1
https://spreadsheets.google.com,1
https://dlvrit.com/,1
https://www.loadmate.in/,1
https://www.libellulafilm.de,1
http://enockmambou.net/,1
